,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,트롤,Trolls,2016,미국,애니메이션,조연-크릭 역역(목소리),5011161500.0,675966.0,5011161500.0,675966.0
1,파라다이스,Paradise,2013,미국,"코미디,드라마",주연,8000.0,1.0,8000.0,1.0
2,락 오브 에이지,Rock of Ages,2012,미국,"뮤지컬,드라마",주연,659124496.0,90926.0,659124496.0,90926.0
3,바니버디,Hop,2011,미국,애니메이션,주연,1207951000.0,181841.0,1207921000.0,181837.0
4,아서,Arthur,2011,미국,코미디,주연-아서 역,,,,
5,컴 백 록스타,Get Him To The Greek,2010,미국,코미디,주연-알도우스 스노우 역역,,,,
