,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,왕을 참하라 무삭제판,,2017,한국,드라마,주연,5000.0,1.0,5000.0,1.0
1,왕을 참하라,,2017,한국,드라마,주연,32469800.0,4237.0,32469800.0,4237.0
2,반달곰,No Cave,2012,한국,드라마,주연-진희역,1261000.0,354.0,1322000.0,401.0
3,나이브 데이즈,Naive Days,2008,한국,드라마,주연,,,,
4,수쟌느,Their Roman Sujane,2007,한국,드라마,주연,,,5000.0,2.0
5,파랑주의보,My Girl and I,2005,한국,드라마,조연-줄리엣역,0.0,328538.0,1453890000.0,237284.0
