,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,슈퍼히어로 스팍스,Sparks,2013,미국,"액션,스릴러",주연,,,28000,28
1,존은 끝에 가서 죽는다,John Dies at the End,2012,미국,"코미디,공포(호러)",주연,2405000.0,415.0,2405000,415
