,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,스머프: 비밀의 숲,Smurfs: The Lost Village,2017,미국,"애니메이션,가족",주연(목소리),3122661000.0,427764.0,3122661000.0,427764.0
1,캠프 락,Camp Rock,2008,미국,"코미디,가족,뮤지컬",주연,,,,
