,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,육체관계,24 hours family resturant Jack “Penny's”,2012,일본,멜로/로맨스,주연,5000,1,5000,1
1,귀족간호사의 바디힐링,LADY NURSE FEELING WHITES,2008,일본,성인물(에로),주연,30000,10,30000,10
2,불륜의 다이어리,Diary of Breaking Mother in Law,2007,일본,"멜로/로맨스,드라마",주연,20000,10,20000,10
