,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,해적왕의 황금나침반,Funf Freunde 3,2014,독일,"가족,어드벤처",주연,33506600,4682,33506600,4682
1,페이머스 파이브 : 키린섬의 비밀,Famous Five,2012,독일,"가족,액션,어드벤처",주연-줄리안역,50861000,7638,50861000,7638
