,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,위대한 소원,THE LAST RIDE,2016,한국,"코미디,드라마",주연-고환부역,2440004213,308398,2440004213,308398
1,왓니껴,Welcome,2013,한국,드라마,주연,5622000,898,5622000,898
2,우리 이웃의 범죄,Sin of a Family,2010,한국,"드라마,스릴러",주연,32054000,4213,32054000,4213
3,인플루언스,The Influence,2010,한국,드라마,주연-김우경역,1529006,229610,1505000,201
