,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,헤라클레스: 전설의 부활,Hercules Reborn,2014,미국,"액션,어드벤처",주연,60000.0,12.0,60000.0,12.0
1,실험대상 2호,Subject Two,2006,미국,"드라마,스릴러",주연,,,,
