,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,무국적소녀,Nowhere Girl,2015,일본,"액션,스릴러",주연,204000.0,38.0,204000.0,38.0
1,렛츠락! 죽어서 하는 밴드,Too Young To Die!,2015,일본,"코미디,드라마",주연,,,,
