,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,더 매니저,Trust Me,2014,미국,"드라마,코미디","감독,주연-하워드 역역",200000.0,20.0,200000.0,20.0
1,헛소동,Much Ado About Nothing,2012,미국,드라마,조연-레오나토역,7683000.0,1266.0,7683000.0,1266.0
2,질식: 어느 섹스 중독자의 초상,Choke,2009,미국,"코미디,드라마",감독,,,,
