,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,파이어 : 테러와의 전쟁,FIRE!,2009,독일,액션,주연,39011000.0,5559.0,39011000.0,5559.0
1,바이블 코드,The Bible Code,2008,"프랑스,독일,오스트리아","미스터리,드라마",주연,,,,
