,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,번개맨,Bungaeman,2015,한국,"판타지,가족",주연-번개맨역,516736500,69303,517127000,69363
1,빅매치,Big Match,2014,한국,액션,단역- 에이스 크루2 역,8952096578,1177438,8952096578,1177438
2,26년,26 Years,2012,한국,"액션,드라마",단역-에필로그 신입경찰 역,21241327145,2963449,21242367145,2963652
