,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,리틀 비트 좀비,A Little Bit Zombie,2012,캐나다,공포(호러),주연-스티브역,8000.0,1.0,8000.0,1.0
1,위드아웃 어 패들 2,Without a Paddle: Nature's Calling,2009,미국,"어드벤처,코미디",주연-잭 역,,,,
