,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,여기자 20년,Two Decades As A Woman Journalist,1977,한국,"드라마,사극",주연,0.0,30200,,
1,가위 바위 보,"Scissors, Rock, And Wrap",1976,한국,"드라마,멜로/로맨스",주연,,26223,,
