movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm,directors/1/peopleNm,directors/2/peopleNm,directors/3/peopleNm,directors/4/peopleNm,directors/5/peopleNm
20159648,"고산자, 대동여지도",The Map Against the World,2016,20160907,장편,개봉,한국,사극,한국,사극,강우석,20100303,(주)시네마서비스,,,,,,,,,
20162541,춘몽,A Quiet Dream,2016,20161013,장편,개봉,한국,드라마,한국,드라마,장률,20100933,(주)률필름,,,,,,,,,
20166546,일본패망하루전,The Emperor in August,2015,20160811,장편,개봉,일본,드라마,일본,드라마,하라다 마사토,,,,,,,,,,,
20166541,달빛궁궐,Lost in the moonlight,2016,20160907,장편,개봉,한국,"애니메이션,판타지,어드벤처",한국,애니메이션,김현주,20061769,스튜디오홀호리(주),20142968,(주)콘텐츠판다,,,,,,,
20163098,카이: 거울 호수의 전설,Kai,2016,20160817,장편,개봉,한국,애니메이션,한국,애니메이션,이성강,20111552,주식회사 다다쇼,20140808,(주)영화사레드피터,,,,,,,
20156559,계춘할망,Canola,2016,20160519,장편,개봉,한국,"가족,드라마",한국,가족,창,20100004,지오엔터테인먼트,20063066,(주)퍼플켓츠필름,20154814,(주)빅스토리픽쳐스,,,,,
20167203,걸즈 앤 판처 극장판,Girls und Panzer The FILM,2015,20160825,장편,개봉,일본,애니메이션,일본,애니메이션,미즈시마 츠토무,,,,,,,,,,,
20165465,썸머타임: 아름다운 계절,Summertime,2015,20160623,장편,개봉,프랑스,멜로/로맨스,프랑스,멜로/로맨스,까뜨린느 꼬르시니,,,,,,,,,,,
20166543,트루스,Truth,2015,20160824,장편,개봉,미국,드라마,미국,드라마,제임스 밴더빌트,,,,,,,,,,,
20162431,극장판 프랭키와 친구들: 생명의 나무,Franky and Friends: A Tree of Life,2016,20160413,장편,개봉,한국,애니메이션,한국,애니메이션,박정오,20168868,프랭키영화문화산업전문(주),,,,,,,,,
20167562,스킵트레이스: 합동수사,Skiptrace,2016,20160831,장편,개봉,"홍콩,미국,중국","액션,코미디",홍콩,액션,레니 할린,,,,,,,,,,,
20167150,엘비스와 대통령,Elvis & Nixon,2016,20161130,장편,개봉,미국,코미디,미국,코미디,리자 존슨,,,,,,,,,,,
20156082,마이펫의 이중생활,The Secret Life of Pets,2016,20160803,장편,개봉,미국,"애니메이션,코미디,가족",미국,애니메이션,크리스 리노드,,,,,,,,,,,
20159058,도리를 찾아서,Finding Dory,2016,20160706,장편,개봉,미국,"애니메이션,어드벤처,코미디",미국,애니메이션,앤드류 스탠튼,,,,,,,,,,,
20163011,우리 손자 베스트,Beaten Black and Blue,2016,20161208,장편,개봉,한국,코미디,한국,코미디,김수현,20063002,(주)인디플러그,,,,,,,,,
20140256,딜쿠샤,Dilkusha,2015,20161124,장편,개봉,한국,"다큐멘터리,판타지",한국,다큐멘터리,김태영,20169548,(주)인디컴,20100202,영화사청어람(주),,,이세영,,,,
20136088,리우 2096,Rio 2096: A story of Love and Fury,2012,20160811,장편,개봉,브라질,애니메이션,브라질,애니메이션,루이즈 볼로네지,,,,,,,,,,,
20150982,"금지된 섹스, 달콤한 복수",,2015,20160114,장편,개봉,한국,"멜로/로맨스,스릴러",한국,멜로/로맨스,이숭환,20063099,(주)케이알씨지,,,,,,,,,
20167154,드림 쏭,Rock Dog,2016,20160914,장편,개봉,미국,애니메이션,미국,애니메이션,애쉬 브래넌,,,,,,,,,,,
20158821,삼례,Night Song,2015,20160623,장편,개봉,한국,"드라마,판타지",한국,드라마,이현정,20160461,리람,,,,,,,,,
20163220,알바생들,,2015,20160428,장편,개봉,한국,드라마,한국,드라마,홍수동,20157292,(주)인터하우스,,,,,,,,,
20162005,맛있는 만남,,2015,20160229,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,이전,20063099,(주)케이알씨지,,,,,,,,,
20155485,소녀와 여자,Where am I? Beyond Girl and woman,2015,20160616,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김효정,20124715,(주)꿈꾸는 오아시스,,,,,,,,,
