movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm,directors/1/peopleNm,directors/2/peopleNm,directors/3/peopleNm,directors/4/peopleNm,directors/5/peopleNm
20156080,나쁜놈은 죽는다,Bad Guys Always Die,2015,20160204,장편,개봉,"중국,한국","코미디,액션",중국,코미디,손호,20063099,(주)케이알씨지,20142369,(유)조이앤시네마,,,,,,,
20164855,사랑은 부엉부엉,OWL YOU NEED IS LOVE,2016,20161229,장편,개봉,프랑스,"드라마,코미디,멜로/로맨스",프랑스,드라마,람지 베디아,,,,,,,,,,,
20164362,엔티티: 죽음의 웹사이트,The Entity,2015,20161222,장편,개봉,페루,"공포(호러),미스터리",페루,공포(호러),에두와르도 슐츠,,,,,,,,,,,
20163196,줄리에타,Julieta,2016,20161117,장편,개봉,스페인,드라마,스페인,드라마,페드로 알모도바르,,,,,,,,,,,
20162207,도성풍운 3,From Vegas To Macau III,2016,20161130,장편,개봉,홍콩,"코미디,드라마",홍콩,코미디,왕정,,,,,,,,,,,
20165231,펫,PET,2016,20161130,장편,개봉,"미국,스페인",스릴러,미국,스릴러,카를레스 토렌스,,,,,,,,,,,
20163411,서프러제트,Suffragette,2016,20160623,장편,개봉,미국,드라마,미국,드라마,사라 가브론,,,,,,,,,,,
20163012,바이 더 씨,By the Sea,2015,20160428,장편,개봉,미국,"드라마,멜로/로맨스",미국,드라마,안젤리나 졸리,,,,,,,,,,,
20162766,프로모션 걸의 사생활,PG Love,2015,20161102,장편,개봉,홍콩,코미디,홍콩,코미디,채결령,,,,,,,,,,,
20164105,외박: 친구의 여자 (무삭제),SOLDIERS’ DESIRE: STAYING-OUT DAY,2016,20161110,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,유승택,20141397,영화사 인연,,,,,,,,,
20167839,벤허,Ben-Hur,2016,20160914,장편,개봉,미국,"어드벤처,드라마",미국,어드벤처,티무르 베크맘베토브,,,,,,,,,,,
20165929,겟 어웨이,Terror Trap,2015,20161223,장편,개봉,미국,"스릴러,공포(호러)",미국,스릴러,,,,,,,,,,,,
20165928,시티 오브 데드,Darkest day,2015,20161223,장편,개봉,영국,"액션,어드벤처,공포(호러)",영국,액션,덴 리카드,,,,,,,,,,,
20167402,서클 오브 데블,The devil complex,2016,20161222,장편,개봉,미국,"공포(호러),스릴러",미국,공포(호러),마크 에반스,,,,,,,,,,,
20167568,두 여자: 피의 복수,Even Lambs Have Teeth,2015,20161222,장편,개봉,미국,스릴러,미국,스릴러,테리 마일즈,,,,,,,,,,,
20167283,데스타운 2,The Invoking 2,2015,20161222,장편,개봉,미국,공포(호러),미국,공포(호러),제이미 루트,,,,,,,,,,,
20153467,미스 히스테리,Meet Miss Anxiety,2014,20160404,장편,개봉,중국,"드라마,멜로/로맨스",중국,드라마,곽재용,,,,,,,,,,,
20158355,600 마일,600 Miles,2015,20161208,장편,개봉,"멕시코,미국","드라마,스릴러",멕시코,드라마,가브리엘 립스테인,,,,,,,,,,,
20166462,신밧드 더 무비,SINBAD,2016,20161201,장편,개봉,일본,애니메이션,일본,애니메이션,미야시타 신페이,,,,,,,,,,,
20163058,아브릴과 조작된 세계,April and the Extraordinary World,2015,20161215,장편,개봉,"프랑스,벨기에,캐나다","애니메이션,어드벤처,코미디",프랑스,애니메이션,크리스티앙 데마르,,,,,,,프랑크 에킨시,,,,
20164526,"나의 위대한 친구, 세잔",Cezanne et moi,2016,20161215,장편,개봉,프랑스,드라마,프랑스,드라마,다니엘르 톰슨,,,,,,,,,,,
