movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,directors/1/peopleNm,directors/2/peopleNm,directors/3/peopleNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm
20187142,카메라를 멈추면 안 돼!,One Cut of the Dead,2017,20180823,장편,개봉예정,일본,"공포(호러),코미디",일본,공포(호러),우에다 신이치로,,,,,,,,,
20172625,천사의 시간,,2017,20180621,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,진명,20063230,스마일픽쳐스,,,,,,,
20189268,루이스,Luis and the Aliens,2018,20180920,장편,개봉예정,독일,애니메이션,독일,애니메이션,,,,,,,,,,
20187305,트라이앵글,Triangle,2009,20180829,장편,개봉예정,영국,"공포(호러),미스터리,스릴러",영국,공포(호러),크리스토퍼 스미스,,,,,,,,,
20186565,이비자 언데드,Ibiza Undead,2016,20181004,장편,개봉예정,영국,"액션,공포(호러)",영국,액션,앤디 에드워드,,,,,,,,,
20186567,이블데드 본리스,Bornless Ones,2016,20181018,장편,개봉예정,미국,공포(호러),미국,공포(호러),알렉산더 바바에브,,,,,,,,,
20187660,델마,Thelma ,2017,20180815,장편,개봉예정,"노르웨이,덴마크,스웨덴,프랑스","멜로/로맨스,미스터리,스릴러,SF",노르웨이,멜로/로맨스,요아킴 트리에,,,,,,,,,
20184541,2017 동명이인 프로젝트,two person at the same town,2017,20180525,장편,개봉,한국,기타,한국,기타,이경원,,,,,,,,,
20187483,픽시,The Fixies: Top Secret,2017,20180823,장편,개봉예정,러시아,"애니메이션,어드벤처,코미디",러시아,애니메이션,바시코 베도슈빌리,,,이반 프숀킨,안드레이 콜핀,,,,,
20185949,헤리티지 오브 러브,THE HERITAGE OF LOVE,2015,20180731,장편,개봉,러시아,"멜로/로맨스,전쟁,드라마",러시아,멜로/로맨스,유리 바실리에프,,,,,,,,,
20188747,기묘한 이야기들2,Monster X,2017,20180730,장편,개봉,미국,공포(호러),미국,공포(호러),다니엘 B. 이스크,,,,,,,,,
20188763,기묘한 이야기들,Strange Events,2017,20180730,장편,개봉,미국,공포(호러),미국,공포(호러),크리스 반스,,,,,,,,,
20187388,여대생의 조건만남,,2017,20180726,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,치바 다이스케,,,,,,,,,
20185044,타짜의 목적 무삭제,,2017,20180726,장편,개봉,한국,,한국,,김경훈,20126395,노바엔터테인먼트 ,,,,,,,
20187121,리:본,RE:BORN,2016,20180725,장편,개봉,일본,액션,일본,액션,시모무라 유지,,,,,,,,,
20187397,옥보단2 무삭제판,Sex and Zen 2,2016,20180724,장편,개봉,중국,멜로/로맨스,중국,멜로/로맨스,전문기,,,,,,,,,
20183522,어린 처제 - 무삭제판,,2018,20180724,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,최우성,20169329,(주)컨텐츠 빌리지,,,,,,,
20187123,벌지대전투 지옥의 사수작전,Wunderland,2017,20180723,장편,개봉,미국,"전쟁,액션",미국,전쟁,스티븐 루크,,,,,,,,,
20187883,더 하우스 - 인형의 집,ANNA,2017,20180721,장편,개봉,미국,공포(호러),미국,공포(호러),마이클 크럼,,,,,,,,,
20188001,라이즈 위 텔,Lies We Tell ,2017,20180720,장편,개봉,미국,스릴러,미국,스릴러,,,,,,,,,,
