movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,companys/1/companyCd,companys/1/companyNm,directors/1/peopleNm,companys/2/companyCd,companys/2/companyNm,companys/3/companyCd,companys/3/companyNm,directors/2/peopleNm,directors/3/peopleNm
20175943,주키퍼스 와이프,The Zookeeper's wife,2017,20171012,장편,개봉,"미국,영국","드라마,전쟁",미국,드라마,니키 카로,,,,,,,,,,,
20161799,행복 목욕탕,Her Love Boils Bathwater,2016,20170323,장편,개봉,일본,"가족,드라마",일본,가족,나카노 료타,,,,,,,,,,,
20175504,월하,Wol-ha : Very Bad Moon Rising,2017,20171220,장편,개봉,한국,"공포(호러),미스터리,스릴러",한국,공포(호러),오인천,20174341,(주)영화맞춤제작소 영화공장,20156688,블리트필름,,,,,,,
20173838,야경 : 죽음의 택시,NIGHTSCAPE,2017,20171220,장편,개봉,한국,"공포(호러),미스터리,스릴러",한국,공포(호러),오인천,20174341,(주)영화맞춤제작소 영화공장,20156688,블리트필름,,,,,,,
20173548,친구엄마 : 그녀의 밤기술,,2017,20170919,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이상민,20161021,(주)영화사가을,,,,,,,,,
20172802,여자의 일생,Une Vie,2016,20170406,장편,개봉,프랑스,멜로/로맨스,프랑스,멜로/로맨스,스테판 브리제,,,,,,,,,,,
20163186,단지 세상의 끝,It's Only the End of the World,2016,20170118,장편,개봉,"캐나다,프랑스",드라마,캐나다,드라마,자비에 돌란,,,,,,,,,,,
20154523,완벽한 거짓말,A Perfect Man,2014,20170824,장편,개봉,프랑스,스릴러,프랑스,스릴러,얀 고즐런,,,,,,,,,,,
20177601,프란츠,Frantz,2016,20170720,장편,개봉,프랑스,"멜로/로맨스,드라마",프랑스,멜로/로맨스,프랑수아 오종,,,,,,,,,,,
20170421,아뉴스 데이,Agnus Dei,2016,20170330,장편,개봉,프랑스,드라마,프랑스,드라마,앤 폰테인,,,,,,,,,,,
20174142,아이 캔 스피크,I Can Speak ,2017,20170921,장편,개봉,한국,코미디,한국,코미디,김현석,20156490,주식회사 영화사 시선,20100545,(주)명필름,,,,,,,
20170028,일본 엄마 2,,2017,20171102,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,김무원,20154628,(주)영화사 사계절,,,,,,,,,
20177847,애정소년 잔혹사,,2017,20171027,장편,개봉,한국,드라마,한국,드라마,장기원,20110901,이상우 필름,,,,,,,,,
20165450,남한산성,The Fortress,2017,20171003,장편,개봉,한국,"사극,드라마",한국,사극,황동혁,20175685,(주)싸이런픽쳐스,,,,,,,,,
20169643,침묵,Heart Blackened,2017,20171102,장편,개봉,한국,드라마,한국,드라마,정지우,20137896,(주)용필름,,,,,,,,,
20150964,조작된 도시,Fabricated City,2016,20170209,장편,개봉,한국,"범죄,액션",한국,범죄,박광현,20100781,(주)티피에스컴퍼니,20141405,(주)영화사심플렉스,,20138175,컬쳐메이트,,,,
20161726,임금님의 사건수첩,The King's Case Note,2016,20170426,장편,개봉,한국,"코미디,어드벤처,액션",한국,코미디,문현성,20157468,(주)영화사람,20110854,씨제이이앤엠(주),,20063209,(주)더타워픽쳐스,,,,
20159647,리얼,REAL,2016,20170628,장편,개봉,한국,액션,한국,액션,이사랑,20174961,(주)코브픽쳐스,,,,,,,,,
20175702,무서운 꿈,Slumber,2017,20171207,장편,개봉,미국,"미스터리,공포(호러)",미국,미스터리,조나단 홉킨스,,,,,,,,,,,
20173903,역모-반란의 시대,The Age of Blood,2015,20171123,장편,개봉,한국,"사극,액션",한국,사극,김홍선,20175741,Picsso,20130105,(주)원픽쳐스,,,,,,,
