movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,directors/1/peopleNm,directors/2/peopleNm,directors/3/peopleNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm,companys/3/companyCd,companys/3/companyNm
20156557,탐정 : 더 비기닝,THE ACCIDENTAL DETECTIVE,2015,20150924,장편,개봉,한국,"코미디,범죄",한국,코미디,김정훈,20061727,(주)크리픽쳐스,,,,,,,,,
20142855,성난 변호사,The Advocate : A Missing Body,2015,20151008,장편,개봉,한국,"범죄,액션",한국,범죄,허종호,20110854,씨제이이앤엠(주),,,,20111881,(주)영화사 빛나는 제국,20157568,우수영화사,,
20149062,연애의 맛,Love Clinic,2014,20150507,장편,개봉,한국,"멜로/로맨스,코미디",한국,멜로/로맨스,김아론,20140522,(주)청우필름,,,,,,,,,
20156709,맛있는 비행,A Delicious Flight,2015,20151022,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,전병철,20154968,(주)로드하우스,,,,,,,,,
20148048,베테랑,Veteran,2014,20150805,장편,개봉,한국,"액션,드라마",한국,액션,류승완,20100374,(주)외유내강,,,,20186561,(주)필름케이,,,,
20155441,몬스터 헌트,Monster Hunt,2015,20151112,장편,개봉,중국,"판타지,액션,어드벤처",중국,판타지,라맨 허,,,,,,,,,,,
20156102,바닷마을 다이어리,Our Little Sister,2015,20151217,장편,개봉,일본,드라마,일본,드라마,고레에다 히로카즈,,,,,,,,,,,
20152922,하루,Today,2014,20150806,장편,개봉,이란,드라마,이란,드라마,레자 미르카리미,,,,,,,,,,,
20147803,한여름의 판타지아,A Midsummer's Fantasia,2014,20150611,장편,개봉,"한국,일본",드라마,한국,드라마,장건재,20101117,모쿠슈라,,,,,,,,,
20153039,러브 라이브! 더 스쿨 아이돌 무비,Love Live! The School Idol Movie,2015,20150903,장편,개봉,일본,애니메이션,일본,애니메이션,쿄고쿠 타카히코,,,,,,,,,,,
20158518,리틀 포레스트 2: 겨울과 봄,Little Forest: Winter & Spring,2014,20150514,장편,개봉,일본,드라마,일본,드라마,모리 준이치,,,,,,,,,,,
